Loan Amount,Loan Term,Employment Length,Home Ownership,Annual Income,Loan Purpose,Address State,Debt To Income Ratio,No. Delinquencies In Last 2 Years,Earliest Credit Line Opened,FICO Credit Score,No. Inquiries In Last 6 Months,Months Since Last Delinquency,No. Of Credit Lines,No. Adverse Public Records,Total Credit Balance,Use Of Credit Line,Total Number Of Credit Lines,Loan Application Description,No. Of Public Record Bankruptcies,Class
22000,36 Months,1.0,RENT,75000.0,Credit Card,CA,22.08,None,36820.34861,690.0,0.0,0,17.0,None,23176.0,84.3,36.0,149,None,Creditworthy
6000,36 Months,0.5,RENT,86000.0,Other,MN,3.42,None,31236.37986,765.0,0.0,0,11.0,None,6760.0,12.5,25.0,336,None,Creditworthy
10000,36 Months,0.5,MORTGAGE,26000.0,House,WV,12.23,None,36757.125,660.0,3.0,44,9.0,None,8386.0,94.2,21.0,0,None,Uncreditworthy
2400,36 Months,1.0,MORTGAGE,23000.0,Small Business,AZ,2.14,None,34501.23056,725.0,1.0,0,5.0,One,948.0,13.5,23.0,116,One,Creditworthy
8000,36 Months,5.0,RENT,41000.0,Other,HI,11.91,None,36911.49097,720.0,1.0,0,7.0,None,5396.0,35.2,31.0,0,None,Creditworthy
20000,60 Months,3.0,MORTGAGE,70000.0,Debt Consolidation,KY,6.87,None,37577.42222,705.0,2.0,0,9.0,None,10116.0,74.4,16.0,588,None,Creditworthy
11200,36 Months,6.0,RENT,63800.0,Wedding,CA,16.21,None,35579.476389999996,685.0,0.0,74,5.0,None,10673.0,93.6,19.0,1000,None,Creditworthy
15000,36 Months,4.0,RENT,74872.0,Wedding,VA,18.06,None,30439.29514,755.0,0.0,0,10.0,None,8731.0,45.0,21.0,450,None,Creditworthy
5500,36 Months,10.0,RENT,53000.0,Debt Consolidation,NJ,3.83,None,35674.338189999995,680.0,0.0,27,10.0,None,3491.0,23.6,30.0,829,None,Creditworthy
15000,36 Months,10.0,RENT,75000.0,Debt Consolidation,NY,7.65,None,38757.19722,695.0,1.0,0,11.0,None,6589.0,42.8,17.0,0,None,Creditworthy
19125,36 Months,2.0,RENT,90200.0,Credit Card,NY,10.28,None,34835.44028,695.0,1.0,0,12.0,None,11573.0,61.9,23.0,141,None,Creditworthy
9000,36 Months,0.5,RENT,45000.0,Credit Card,TX,18.93,None,35017.07153,715.0,0.0,0,6.0,None,14576.0,72.2,11.0,23,None,Creditworthy
4750,36 Months,4.0,MORTGAGE,25000.0,Home Improvement,MA,21.55,None,38845.16944,665.0,0.0,0,5.0,None,15808.0,90.3,9.0,0,None,Creditworthy
10000,60 Months,7.0,RENT,53004.0,Major Purchase,NY,5.61,None,36281.40764,705.0,2.0,54,9.0,None,12597.0,47.2,14.0,0,None,Creditworthy
3000,36 Months,3.0,RENT,70000.0,Debt Consolidation,CA,8.78,None,36366.33472,760.0,0.0,0,11.0,None,2211.0,6.2,19.0,179,None,Creditworthy
7800,36 Months,0.5,RENT,45000.0,Credit Card,FL,24.37,None,30000.0,670.0,0.0,73,16.0,None,10937.0,42.4,48.0,202,None,Uncreditworthy
15450,36 Months,8.0,RENT,36000.0,Debt Consolidation,MO,17.4,One,30000.0,665.0,0.0,19,6.0,None,18403.0,73.3,9.0,229,None,Creditworthy
5000,36 Months,5.0,RENT,75000.0,Debt Consolidation,CA,12.83,None,37250.53333,725.0,0.0,45,14.0,None,13500.0,31.1,29.0,528,None,Creditworthy
5600,36 Months,1.0,RENT,36000.0,Debt Consolidation,SC,12.32,None,35733.35,730.0,0.0,0,5.0,None,7634.0,40.6,12.0,0,None,Creditworthy
3600,36 Months,0.5,RENT,55200.0,Debt Consolidation,FL,19.93,None,34919.22778,670.0,3.0,0,15.0,None,6239.0,80.0,22.0,0,None,Creditworthy
10000,36 Months,3.0,RENT,120000.0,Debt Consolidation,PA,5.93,None,36671.159719999996,745.0,1.0,0,8.0,None,5761.0,36.2,26.0,50,None,Creditworthy
2000,36 Months,1.0,RENT,60000.0,Moving,NY,13.42,None,36038.24792,720.0,1.0,0,3.0,None,26719.0,99.4,8.0,807,None,Creditworthy
6000,36 Months,2.0,MORTGAGE,24000.0,Home Improvement,MI,9.7,None,38237.29097,705.0,3.0,0,10.0,None,1838.0,14.2,15.0,501,None,Creditworthy
9600,36 Months,1.0,RENT,69996.0,Debt Consolidation,CA,20.4,None,35798.496530000004,690.0,0.0,0,9.0,None,11748.0,87.0,22.0,296,None,Creditworthy
15250,36 Months,3.0,MORTGAGE,60000.0,Debt Consolidation,CO,20.64,None,35382.49306,710.0,1.0,0,9.0,None,50000.0,96.1,31.0,318,None,Uncreditworthy
15000,36 Months,9.0,MORTGAGE,80000.0,Credit Card,VA,9.17,None,36173.29306,675.0,2.0,0,9.0,One,7689.0,79.3,23.0,0,One,Creditworthy
3000,36 Months,8.0,MORTGAGE,54000.0,Car,OH,20.84,None,36324.51458,750.0,0.0,0,7.0,None,15972.0,28.0,19.0,62,None,Creditworthy
25000,36 Months,4.0,MORTGAGE,72400.0,Debt Consolidation,MO,17.07,Two,30000.0,685.0,0.0,6,4.0,None,9769.0,61.1,22.0,0,None,Creditworthy
4000,36 Months,5.0,MORTGAGE,68004.0,Educationalal,OH,19.76,None,36032.08958,705.0,3.0,0,7.0,None,24802.0,86.4,23.0,323,None,Uncreditworthy
10000,36 Months,8.0,RENT,49639.62,Debt Consolidation,MA,21.39,None,34477.26458,675.0,1.0,27,22.0,None,13861.0,50.0,39.0,0,None,Creditworthy
4000,60 Months,4.0,MORTGAGE,45000.0,Major Purchase,OK,6.77,None,36709.30069,760.0,1.0,0,17.0,None,14997.0,22.1,30.0,51,None,Creditworthy
18000,36 Months,10.0,MORTGAGE,43000.0,Credit Card,TX,26.79,One,34474.28611,680.0,4.0,10,12.0,None,12320.0,46.0,26.0,121,None,Creditworthy
12000,36 Months,2.0,MORTGAGE,170000.0,Other,GA,17.91,None,35805.267360000005,670.0,2.0,33,19.0,None,50000.0,66.3,36.0,0,None,Uncreditworthy
7000,36 Months,0.5,RENT,55000.0,Credit Card,TX,28.54,None,37019.17778,685.0,1.0,82,22.0,None,6912.0,59.6,34.0,222,None,Creditworthy
6000,36 Months,8.0,MORTGAGE,66000.0,Debt Consolidation,FL,8.04,None,30000.0,775.0,0.0,0,12.0,None,50000.0,13.4,18.0,278,None,Creditworthy
1500,36 Months,0.5,RENT,48500.0,Other,MA,3.59,One,39119.10278,670.0,1.0,22,3.0,None,2420.0,93.1,5.0,271,None,Creditworthy
10000,36 Months,2.0,RENT,56000.0,Major Purchase,GA,9.02,None,33679.50625,775.0,1.0,0,7.0,None,5875.0,7.1,24.0,1,None,Creditworthy
2000,36 Months,10.0,MORTGAGE,63600.0,Debt Consolidation,TX,23.23,None,35174.27847,800.0,1.0,0,8.0,None,35884.0,0.0,20.0,0,None,Uncreditworthy
20000,36 Months,6.0,MORTGAGE,61800.0,Debt Consolidation,MA,18.64,None,35938.32569,720.0,1.0,0,11.0,None,50000.0,63.4,30.0,350,None,Creditworthy
21000,60 Months,3.0,MORTGAGE,90000.0,Debt Consolidation,CA,17.85,One,34290.47917,670.0,0.0,21,12.0,None,35706.0,92.5,20.0,224,None,Creditworthy
1500,36 Months,3.0,OWN,48000.0,Other,SC,0.63,None,37526.37083,690.0,1.0,69,2.0,None,238.0,47.6,4.0,0,None,Uncreditworthy
7125,36 Months,10.0,MORTGAGE,45596.0,Debt Consolidation,CA,24.24,None,37553.46389,660.0,3.0,0,18.0,None,9197.0,63.9,29.0,0,None,Creditworthy
12000,60 Months,6.0,MORTGAGE,48422.0,Home Improvement,NC,7.43,None,36866.31944,680.0,0.0,48,3.0,None,1739.0,79.0,6.0,0,None,Uncreditworthy
10000,36 Months,9.0,MORTGAGE,75000.0,Credit Card,NY,21.81,None,33287.28056,715.0,3.0,0,10.0,One,12443.0,42.6,37.0,421,One,Creditworthy
18500,36 Months,0.5,MORTGAGE,88500.0,Debt Consolidation,TX,8.69,Two,32052.49653,660.0,0.0,21,12.0,None,16520.0,82.2,26.0,0,None,Creditworthy
9975,60 Months,2.0,MORTGAGE,60000.0,Other,AZ,8.58,None,38657.41944,715.0,1.0,0,12.0,None,10086.0,41.0,21.0,54,None,Uncreditworthy
25000,60 Months,2.0,RENT,72300.0,Small Business,OH,6.54,One,33239.45278,740.0,1.0,10,20.0,None,1156.0,2.0,25.0,0,None,Creditworthy
2500,36 Months,0.5,OWN,30000.0,Major Purchase,GA,9.52,One,37652.445830000004,680.0,3.0,13,12.0,None,4987.0,22.3,19.0,1,None,Creditworthy
7500,36 Months,10.0,OWN,95000.0,Other,NY,13.74,None,30027.19375,745.0,0.0,44,14.0,None,18763.0,30.2,25.0,0,None,Creditworthy
5000,36 Months,0.5,OWN,48059.0,Credit Card,TX,16.28,None,34830.539580000004,710.0,2.0,0,11.0,None,7215.0,80.2,23.0,141,None,Creditworthy
15000,36 Months,10.0,MORTGAGE,95000.0,Debt Consolidation,MI,9.44,None,33058.36319,780.0,1.0,0,13.0,None,22930.0,41.4,40.0,0,None,Creditworthy
9000,36 Months,0.5,RENT,67092.0,Major Purchase,MD,15.85,None,36833.10903,690.0,3.0,0,9.0,None,22002.0,81.2,18.0,816,None,Creditworthy
14400,36 Months,10.0,MORTGAGE,125000.0,Other,NC,2.79,None,32916.25694,805.0,1.0,0,7.0,None,22839.0,39.1,22.0,105,None,Creditworthy
14300,60 Months,1.0,RENT,30000.0,Other,OH,19.2,None,39046.17847,670.0,3.0,0,4.0,None,4522.0,94.2,5.0,0,None,Uncreditworthy
2900,36 Months,0.5,RENT,50000.0,Other,NJ,4.82,None,37153.49792,735.0,2.0,0,10.0,None,1312.0,9.0,15.0,151,None,Creditworthy
7800,36 Months,6.0,RENT,78000.0,Debt Consolidation,CA,8.09,None,35359.070830000004,685.0,3.0,0,5.0,None,7348.0,95.4,35.0,0,None,Creditworthy
8325,36 Months,5.0,RENT,20000.0,Credit Card,NY,14.94,None,36416.49375,685.0,1.0,48,4.0,None,9022.0,78.5,8.0,0,None,Uncreditworthy
7000,36 Months,0.5,RENT,21600.0,Debt Consolidation,TX,10.0,None,38614.17847,705.0,1.0,0,2.0,None,5230.0,81.7,5.0,147,None,Creditworthy
4000,36 Months,3.0,MORTGAGE,60000.0,Credit Card,FL,15.5,None,36816.09444,725.0,3.0,0,18.0,None,1778.0,6.6,33.0,0,None,Creditworthy
30000,36 Months,7.0,RENT,90000.0,Credit Card,NJ,17.48,None,30000.0,715.0,1.0,78,8.0,None,18035.0,92.5,24.0,0,None,Creditworthy
6600,36 Months,5.0,MORTGAGE,72000.0,Credit Card,WA,9.62,One,35074.128469999996,730.0,0.0,23,12.0,None,11589.0,20.8,28.0,264,None,Creditworthy
5900,36 Months,4.0,RENT,23000.0,Debt Consolidation,MN,8.19,None,37645.13681,725.0,0.0,0,6.0,None,5898.0,57.8,10.0,334,None,Creditworthy
3500,36 Months,7.0,OWN,57000.0,Home Improvement,OH,24.11,One,37025.2625,705.0,1.0,6,8.0,None,2979.0,14.2,14.0,532,None,Creditworthy
6000,36 Months,5.0,MORTGAGE,65000.0,Credit Card,KS,15.12,One,36724.06667,680.0,1.0,23,13.0,None,18723.0,47.1,21.0,0,None,Creditworthy
20000,36 Months,3.0,MORTGAGE,127000.0,Debt Consolidation,MD,11.76,None,35462.181939999995,680.0,1.0,47,15.0,None,12908.0,76.8,27.0,409,None,Creditworthy
4750,36 Months,2.0,MORTGAGE,40000.0,Debt Consolidation,AZ,17.64,None,34654.45556,695.0,2.0,51,11.0,None,7489.0,39.0,25.0,137,None,Creditworthy
5000,36 Months,0.5,MORTGAGE,101000.0,Other,TX,24.74,None,30221.30903,695.0,1.0,0,20.0,None,50000.0,79.3,55.0,143,None,Creditworthy
8975,36 Months,5.0,RENT,24000.0,Major Purchase,CA,20.65,None,38113.50069,730.0,1.0,0,4.0,None,2678.0,33.5,6.0,101,None,Creditworthy
5000,36 Months,5.0,RENT,62400.0,Credit Card,CA,12.75,None,35066.170139999995,735.0,0.0,0,8.0,None,11757.0,42.6,17.0,259,None,Creditworthy
11500,36 Months,10.0,MORTGAGE,55000.0,Credit Card,AR,16.42,None,37315.48056,730.0,0.0,0,4.0,None,22241.0,84.6,15.0,58,None,Creditworthy
7000,36 Months,3.0,OWN,30000.0,Credit Card,CA,5.2,None,38364.54028,660.0,1.0,41,6.0,None,4565.0,38.0,9.0,0,None,Creditworthy
2200,36 Months,0.5,MORTGAGE,106000.0,Major Purchase,AK,23.8,None,34689.398610000004,705.0,1.0,0,13.0,None,18169.0,63.3,43.0,82,None,Creditworthy
12000,36 Months,4.0,RENT,56500.0,Debt Consolidation,CA,17.35,None,36477.19861,690.0,0.0,0,10.0,None,19365.0,72.5,20.0,230,None,Creditworthy
7000,36 Months,3.0,RENT,30000.0,Debt Consolidation,NJ,11.8,None,37767.37778,735.0,1.0,0,11.0,None,5842.0,30.9,24.0,32,None,Creditworthy
20000,36 Months,4.0,MORTGAGE,75000.0,Debt Consolidation,NJ,23.84,One,36355.42153,695.0,0.0,6,14.0,None,9552.0,36.5,50.0,0,None,Creditworthy
10000,60 Months,3.0,RENT,48000.0,Debt Consolidation,PA,7.3,None,36195.49306,690.0,2.0,0,6.0,None,10019.0,74.2,12.0,0,None,Uncreditworthy
1000,36 Months,6.0,MORTGAGE,14000.0,Other,FL,13.89,None,38276.475,685.0,0.0,0,10.0,None,478.0,95.6,18.0,132,None,Creditworthy
12000,60 Months,10.0,MORTGAGE,91000.0,Home Improvement,GA,8.58,None,36436.20694,720.0,1.0,0,9.0,None,8912.0,56.8,42.0,0,None,Creditworthy
4800,60 Months,0.5,MORTGAGE,51000.0,Car,NC,7.55,One,33446.15556,715.0,1.0,17,6.0,None,15632.0,83.6,32.0,500,None,Creditworthy
12000,36 Months,4.0,RENT,60000.0,Debt Consolidation,NY,12.06,None,34651.18542,715.0,0.0,0,11.0,None,14717.0,57.7,19.0,0,None,Creditworthy
15000,36 Months,0.5,RENT,38000.0,Debt Consolidation,TX,21.98,None,38262.48056,700.0,2.0,0,14.0,None,15432.0,64.0,21.0,1000,None,Creditworthy
22750,60 Months,0.5,MORTGAGE,52000.0,Debt Consolidation,WV,29.89,None,38541.21806,710.0,1.0,0,14.0,None,14982.0,38.3,36.0,0,None,Creditworthy
5000,36 Months,8.0,RENT,50532.0,Other,TX,14.75,One,36137.26597,685.0,0.0,21,6.0,None,0.0,0.0,19.0,126,None,Creditworthy
15000,36 Months,3.0,RENT,80000.0,Debt Consolidation,NJ,11.84,None,35898.36389,680.0,1.0,0,12.0,None,7848.0,46.8,24.0,275,None,Uncreditworthy
3250,36 Months,4.0,RENT,125000.0,Other,CA,21.33,None,31256.3625,715.0,0.0,29,13.0,None,13995.0,75.2,42.0,395,None,Creditworthy
7200,36 Months,8.0,RENT,56052.0,Home Improvement,NY,19.25,None,36119.35,705.0,1.0,60,11.0,None,3280.0,29.0,33.0,44,None,Creditworthy
3600,36 Months,10.0,MORTGAGE,100000.0,Major Purchase,MO,17.54,None,32583.24097,690.0,0.0,0,12.0,None,22528.0,93.5,30.0,90,None,Creditworthy
24000,60 Months,2.0,MORTGAGE,53100.0,House,FL,20.95,None,37037.46458,710.0,2.0,0,23.0,None,24318.0,29.6,41.0,0,None,Creditworthy
1000,36 Months,0.5,OTHER,85000.0,Credit Card,DC,2.82,None,33570.19236,765.0,0.0,0,8.0,None,7603.0,20.7,19.0,49,None,Creditworthy
10000,36 Months,3.0,RENT,120000.0,Debt Consolidation,NC,14.4,None,34658.42083,720.0,1.0,0,8.0,None,50000.0,77.5,23.0,119,None,Creditworthy
3000,36 Months,5.0,MORTGAGE,27000.0,Debt Consolidation,VA,14.67,None,35357.49375,760.0,0.0,0,2.0,None,543.0,54.3,12.0,354,None,Creditworthy
7000,36 Months,0.5,RENT,54000.0,Moving,CO,16.89,None,37115.30972,680.0,2.0,48,9.0,None,4820.0,19.9,19.0,0,None,Creditworthy
12500,36 Months,0.5,RENT,38000.0,Debt Consolidation,PA,10.39,None,36964.51944,705.0,0.0,0,21.0,None,12343.0,67.8,36.0,686,None,Uncreditworthy
10000,36 Months,5.0,NOne,22200.0,Debt Consolidation,VA,5.24,None,34452.30069,790.0,0.0,0,9.0,None,4767.0,8.7,22.0,76,None,Creditworthy
8000,36 Months,0.5,MORTGAGE,160000.0,Credit Card,CA,1.72,None,38614.50208,670.0,0.0,0,3.0,None,8509.0,97.8,7.0,0,None,Creditworthy
25000,60 Months,7.0,MORTGAGE,45000.0,Debt Consolidation,FL,17.2,None,35416.45833,705.0,0.0,0,6.0,None,37233.0,99.3,13.0,167,None,Uncreditworthy
20000,36 Months,10.0,MORTGAGE,71000.0,Debt Consolidation,IL,8.25,Four,30000.0,715.0,1.0,3,20.0,None,30987.0,48.4,39.0,1000,None,Creditworthy
8000,36 Months,1.0,MORTGAGE,136000.0,Debt Consolidation,CA,16.59,None,36017.20764,685.0,0.0,0,17.0,None,43312.0,79.9,44.0,419,None,Creditworthy
3500,36 Months,3.0,MORTGAGE,80000.0,Debt Consolidation,MD,12.98,None,36890.43681,730.0,0.0,0,9.0,One,3802.0,26.0,23.0,0,None,Creditworthy
25000,60 Months,3.0,MORTGAGE,103400.0,Debt Consolidation,MA,11.91,None,34720.30278,735.0,1.0,0,10.0,None,24049.0,50.3,36.0,0,None,Creditworthy
6000,36 Months,3.0,RENT,50000.0,Debt Consolidation,MA,17.86,None,36876.147919999996,690.0,0.0,31,12.0,None,4264.0,23.2,15.0,384,None,Creditworthy
10000,36 Months,1.0,RENT,45000.0,Debt Consolidation,LA,4.88,None,35387.507639999996,730.0,0.0,0,6.0,None,12425.0,94.2,24.0,441,None,Creditworthy
5000,36 Months,5.0,RENT,15600.0,Credit Card,GA,11.54,None,36119.244439999995,755.0,0.0,0,6.0,None,5474.0,42.1,17.0,0,None,Creditworthy
10000,36 Months,4.0,RENT,36000.0,Debt Consolidation,MI,22.43,None,36938.37431,665.0,1.0,67,8.0,None,9469.0,59.2,16.0,251,None,Creditworthy
4900,36 Months,4.0,MORTGAGE,72000.0,Other,CA,0.67,Two,35629.48889,660.0,0.0,6,3.0,None,1284.0,30.6,20.0,392,None,Creditworthy
2000,36 Months,10.0,OWN,56000.0,Small Business,CT,13.26,None,30000.0,685.0,2.0,65,14.0,One,18136.0,84.7,23.0,856,One,Uncreditworthy
14000,36 Months,10.0,MORTGAGE,70032.0,Debt Consolidation,CA,17.96,None,35182.38542,715.0,0.0,0,8.0,None,42050.0,76.6,17.0,162,None,Creditworthy
16000,36 Months,3.0,OWN,106000.0,Debt Consolidation,VA,9.87,None,35654.4875,690.0,2.0,0,4.0,None,34896.0,87.5,29.0,91,None,Creditworthy
7200,36 Months,3.0,MORTGAGE,85000.0,Credit Card,RI,11.72,None,34715.06111,780.0,1.0,0,6.0,None,15933.0,36.2,28.0,0,None,Creditworthy
25000,36 Months,9.0,MORTGAGE,171194.0,Debt Consolidation,NJ,20.8,None,34572.50139,735.0,0.0,0,14.0,None,41693.0,58.2,32.0,0,None,Creditworthy
10000,36 Months,0.0,RENT,60000.0,Debt Consolidation,CA,6.2,None,30000.0,745.0,0.0,43,10.0,None,7515.0,26.2,20.0,0,None,Creditworthy
17000,36 Months,9.0,MORTGAGE,55000.0,Debt Consolidation,FL,23.87,None,37508.289580000004,720.0,0.0,0,8.0,None,20763.0,56.6,17.0,231,None,Creditworthy
29000,60 Months,6.0,MORTGAGE,73000.0,Debt Consolidation,FL,20.78,None,34610.29931,750.0,0.0,0,17.0,None,8615.0,10.9,55.0,703,None,Creditworthy
10000,36 Months,10.0,MORTGAGE,62500.0,Debt Consolidation,WA,19.05,None,35531.23333,740.0,0.0,0,8.0,None,28302.0,46.5,16.0,345,None,Creditworthy
5000,36 Months,2.0,RENT,63000.0,Credit Card,TX,13.79,None,36372.40208,735.0,1.0,0,8.0,None,5163.0,28.1,20.0,74,None,Creditworthy
12000,36 Months,1.0,MORTGAGE,39000.0,Other,GA,11.78,None,34476.11528,705.0,0.0,62,6.0,One,5406.0,33.4,14.0,240,None,Uncreditworthy
16000,36 Months,5.0,MORTGAGE,86000.0,Debt Consolidation,GA,10.74,None,36140.147919999996,735.0,1.0,0,14.0,None,39622.0,47.3,29.0,1000,None,Creditworthy
8000,36 Months,10.0,RENT,36996.0,Debt Consolidation,OH,20.86,None,36418.32361,750.0,0.0,0,7.0,None,6738.0,63.0,24.0,1000,None,Uncreditworthy
1100,36 Months,10.0,RENT,36000.0,Medical,FL,12.47,None,32899.304860000004,765.0,2.0,0,9.0,None,3725.0,12.9,31.0,165,None,Creditworthy
10000,36 Months,5.0,RENT,60000.0,Debt Consolidation,CA,9.08,None,37634.429169999996,670.0,3.0,53,7.0,None,12682.0,83.8,22.0,0,None,Creditworthy
1500,36 Months,10.0,MORTGAGE,53004.0,Major Purchase,IL,9.51,None,35015.505560000005,660.0,3.0,0,9.0,None,22189.0,83.7,24.0,42,None,Creditworthy
6500,36 Months,1.0,RENT,91700.0,Credit Card,VA,15.06,None,37926.20278,720.0,0.0,0,13.0,None,6925.0,32.5,20.0,713,None,Creditworthy
8000,36 Months,9.0,MORTGAGE,65000.0,Credit Card,MN,12.5,None,35586.148610000004,680.0,0.0,56,7.0,None,10834.0,78.5,20.0,0,None,Creditworthy
4500,36 Months,4.0,RENT,30000.0,Credit Card,MI,25.2,None,37290.10556,705.0,0.0,67,10.0,None,4437.0,34.9,16.0,93,None,Creditworthy
15000,60 Months,10.0,MORTGAGE,61651.0,Debt Consolidation,IL,15.69,None,35272.31181,685.0,1.0,0,10.0,None,12194.0,83.0,27.0,188,None,Creditworthy
2800,36 Months,8.0,RENT,40000.0,Credit Card,CA,22.02,None,35974.43819,705.0,0.0,80,10.0,None,6907.0,67.7,20.0,343,None,Creditworthy
25000,60 Months,3.0,MORTGAGE,105500.0,Debt Consolidation,SC,5.61,None,38920.27986,735.0,1.0,0,12.0,None,10593.0,26.9,21.0,0,None,Creditworthy
11400,36 Months,3.0,RENT,43000.0,Other,TX,24.78,None,37157.17778,750.0,1.0,0,19.0,None,6057.0,11.6,30.0,195,None,Creditworthy
2000,36 Months,5.0,MORTGAGE,32000.0,Debt Consolidation,CO,19.95,None,36687.51944,680.0,2.0,0,6.0,None,10783.0,84.9,23.0,0,None,Creditworthy
6000,36 Months,10.0,MORTGAGE,40000.0,Debt Consolidation,FL,10.32,None,33950.50417,670.0,1.0,0,10.0,None,8241.0,70.4,19.0,0,None,Creditworthy
15000,60 Months,4.0,MORTGAGE,106000.0,House,CO,7.46,None,37345.380560000005,665.0,3.0,0,12.0,None,9918.0,64.8,15.0,920,None,Creditworthy
3600,60 Months,6.0,OWN,21456.0,Other,TX,4.14,None,38255.09861,670.0,0.0,0,2.0,None,1980.0,79.2,3.0,558,None,Uncreditworthy
4000,36 Months,2.0,RENT,54000.0,Moving,NY,12.91,One,35707.19792,690.0,1.0,8,8.0,None,24671.0,66.0,35.0,60,None,Creditworthy
15000,36 Months,9.0,MORTGAGE,75000.0,Debt Consolidation,VA,12.37,None,35566.07361,740.0,3.0,0,20.0,None,41954.0,46.2,38.0,135,None,Uncreditworthy
16000,36 Months,10.0,RENT,54000.0,Debt Consolidation,CT,16.09,Two,33660.47292,665.0,0.0,9,8.0,None,12337.0,92.8,26.0,202,None,Uncreditworthy
9800,36 Months,10.0,RENT,75000.0,Debt Consolidation,FL,5.73,None,36292.18681,695.0,2.0,0,4.0,One,1947.0,51.2,13.0,307,One,Creditworthy
15000,36 Months,7.0,RENT,60000.0,Other,MO,20.82,None,33070.32847,710.0,0.0,0,11.0,None,22716.0,80.8,26.0,308,None,Creditworthy
6000,60 Months,4.0,MORTGAGE,42000.0,Home Improvement,WI,20.89,Two,34492.40486,710.0,2.0,7,8.0,None,3659.0,37.7,43.0,196,None,Creditworthy
3000,36 Months,2.0,OWN,20000.0,Debt Consolidation,IL,1.8,None,36793.26111,745.0,1.0,0,4.0,None,2087.0,50.9,4.0,65,None,Creditworthy
6000,36 Months,10.0,MORTGAGE,50000.0,Debt Consolidation,NJ,15.89,None,30000.0,790.0,4.0,0,10.0,None,3485.0,20.0,22.0,63,None,Creditworthy
18000,36 Months,5.0,MORTGAGE,85000.0,Major Purchase,NJ,1.84,None,36166.43472,795.0,2.0,0,11.0,None,39132.0,0.4,27.0,258,None,Creditworthy
13000,36 Months,2.0,RENT,52000.0,Debt Consolidation,CA,15.14,None,38267.536810000005,665.0,0.0,0,7.0,None,6906.0,56.7,10.0,1000,None,Creditworthy
